number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Boomilever,Bungee Drop,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Electric Vehicle,Engineering CAD,Entomology,Experimental Design,Forensics,Helicopter,Hovercraft,Machines,Materials Science,Remote Sensing,Robot Tour,Rocks and Minerals,Water Quality
42,Walton High School,A,,Marietta,GA,Combined,1,134,15,3,17,7,2,8,5,2,13,3,3,7,7,8,1,3,4,1,8,6,3,4,4
16,Fulton County Schools Innovation Academy,A,,Alpharetta,GA,Combined,2,232,20,2,3,2,14,41,2,3,8,15,16,1,3,4,12,10,10,21,5,10,9,1,20
36,River City Science Academy Middle-High School,RaTs,,Jacksonville,FL,Combined,3,240,9,15,1,22,30,3,12,7,3,13,4,13,10,12,7,8,2,9,22,13,6,18,1
8,Chattahoochee High School,A,,Johns Creek,GA,Combined,4,252,5,21,13,10,9,11,4,24,19,9,23,3,2,3,34,6,17,5,6,3,5,5,15
22,James Clemens High School,,,Huntsville,AL,Combined,5,264,1,12,2,24,18,29,8,1,4,4,5,4,12,7,6,13,17,14,13,16,25,2,27
19,Fulton Science Academy,2,,Alpharetta,GA,Combined,6,287,2,5,24,30,28,15,13,30,14,19,2,2,4,10,2,7,12,3,7,1,8,30,19
4,Brookwood High School,B,,Snellville,GA,Combined,7,304,17,29,26,15,22,10,1,6,16,7,12,6,9,1,17,11,7,22,10,4,7,33,16
18,Fulton Science Academy,1,,Alpharetta,GA,Combined,8,325,16,1,46,46,8,1,3,9,7,6,46,15,19,5,3,4,16,11,43,2,1,6,11
21,"Gwinnett School of Mathematics, Science, and Technology",B,,Lawrenceville,GA,Combined,9,336,3,10,11,21,4,9,17,33,1,12,13,11,11,19,11,12,11,20,27,25,22,28,5
3,Brookwood High School,A,,Snellville,GA,Combined,10,367,13,7,16,14,20,14,7,8,29,29,25,16,32,2,31,9,15,12,36,12,4,10,6
43,Walton High School,B,,Marietta,GA,Combined,11,402,21,19,5,6,39,22,26,20,37,24,8,22,8,9,9,15,6,2,23,21,18,11,31
41,Westminster Schools,A,,Atlanta,GA,Combined,12,404,10,16,8,26,31,40,18,32,18,2,1,24,13,13,21,30,46,13,15,20,2,3,2
35,River City Science Academy Middle-High School,RaPtors,,Jacksonville,FL,Combined,13,444,7,30,7,18,36,21,6,21,15,32,10,23,25,27,20,2,3,32,41,19,10,14,25
33,Northview High School,Green,,Johns Creek,GA,Combined,14,445,39,35,12,1,1,4,37,26,27,21,19,14,28,6,23,28,46,16,1,18,23,12,8
9,Chattahoochee High School,B,,Johns Creek,GA,Combined,15,469,14,9,9,46,7,23,10,15,9,23,46,10,1,21,18,46,46,6,18,11,46,32,3
25,Lambert High School,A,,Suwanee,GA,Combined,16,471,18,6,19,31,10,5,27,4,2,38,6,9,18,33,24,46,14,23,31,14,46,25,22
32,Northview High School,Blue,,Johns Creek,GA,Combined,17,482,8,18,4,13,5,18,24,23,17,34,46,21,21,17,14,16,9,46,16,46,17,17,32
44,Woodward Academy,A,,College Park,GA,Combined,18,490,22,27,10,5,16,12,11,40,41,35,14,35,16,35,26,17,1,18,20,15,13,22,39
20,"Gwinnett School of Mathematics, Science, and Technology",A,,Lawrenceville,GA,Combined,19,499,6,23,26,47,3,37,15,37,20,22,46,5,15,25,38,46,17,17,11,17,12,7,7
10,Decatur High School,A,,Decatur,GA,Combined,20,500,11,25,20,3,29,2,31,13,31,1,9,36,27,11,32,46,46,7,12,7,46,42,13
2,Alpharetta High School,B,,Alpharetta,GA,Combined,21,548,33,36,22,4,27,7,9,10,26,40,7,39,36,14,10,5,46,28,33,23,46,19,28
17,Fulton County Schools Innovation Academy,B,,Alpharetta,GA,Combined,22,560,25,40,6,9,32,32,34,14,22,37,46,18,23,20,27,21,5,10,14,38,46,20,21
26,Lambert High School,B,,Suwanee,GA,Combined,23,562,4,28,26,17,6,46,14,18,12,28,46,46,24,16,30,46,46,15,2,8,46,29,9
23,Johns Creek High School,A,,Johns Creek,GA,Combined,24,581,41,13,26,29,21,36,20,39,5,39,11,37,6,24,4,46,46,46,4,34,16,8,30
45,Woodward Academy,B,,College Park,GA,Combined,25,584,31,34,24,19,15,31,23,36,39,42,22,20,20,18,39,27,17,4,37,24,19,9,34
38,Rockdale Magnet School for Science and Technology,Gold,,Conyers,GA,Combined,26,591,19,24,26,28,34,39,40,22,32,16,15,33,22,26,33,19,17,29,32,26,26,16,17
30,Northgate High School,T-Rex,,Newnan,GA,Combined,27,598,26,32,26,8,12,19,16,38,40,25,17,31,31,22,25,18,46,26,17,28,24,31,40
28,North Gwinnett High School,A,,Suwanee,GA,Combined,28,604,28,8,47,46,24,28,28,19,6,36,46,8,17,43,28,46,17,24,21,5,46,15,18
11,Decatur High School,B,,Decatur,GA,Combined,29,607,36,39,46,11,35,41,21,28,23,5,46,17,5,23,37,29,46,8,29,22,11,39,10
31,Northgate High School,Velociraptor,,Newnan,GA,Combined,30,624,38,38,26,33,11,33,22,16,30,14,18,19,39,41,40,25,8,27,40,33,21,26,26
1,Alpharetta High School,A,,Alpharetta,GA,Combined,31,630,27,31,15,23,19,17,30,31,21,41,46,28,38,15,16,1,46,31,26,35,15,41,37
40,Starr's Mill High School,2,,Fayetteville,GA,Combined,32,652,12,4,46,46,37,24,35,27,10,11,46,32,29,30,35,46,17,19,24,30,46,13,33
14,Forsyth Central High School,Black,,Cumming,GA,Combined,33,660,29,11,46,16,23,27,25,5,24,31,46,12,33,36,13,46,46,46,34,9,46,27,29
7,Central High School,Maroon,,Carrollton,GA,Combined,34,685,40,37,23,32,38,26,40,34,36,30,21,34,30,31,5,26,13,35,30,37,14,37,36
39,Starr's Mill High School,1,,Fayetteville,GA,Combined,35,700,35,26,46,12,33,46,19,29,34,8,46,25,26,28,29,46,17,46,35,27,20,44,23
12,Duluth High School,Purple,,Duluth,GA,Combined,36,707,32,20,21,25,25,30,32,35,25,10,24,46,34,44,41,14,47,46,25,36,46,35,14
15,Forsyth Central High School,Red,,Cumming,GA,Combined,37,716,23,14,14,46,17,46,40,11,28,20,46,46,14,39,19,46,46,46,19,32,46,34,24
29,North Gwinnett High School,B,,Suwanee,GA,Combined,38,725,24,22,46,46,13,38,39,17,11,33,46,30,40,29,8,46,46,25,38,46,46,24,12
37,Rockdale Magnet School for Science and Technology,Blue,,Conyers,GA,Combined,39,749,37,33,26,27,41,13,40,41,42,27,20,26,42,32,15,23,46,34,39,39,27,38,41
24,Johns Creek High School,B,,Johns Creek,GA,Combined,40,756,30,42,18,46,26,6,29,25,38,18,46,38,44,38,22,46,46,30,9,31,46,36,46
34,Pope High School,,,Marietta,GA,Combined,41,757,34,17,26,20,40,16,33,44,33,17,46,29,41,37,36,24,46,33,28,29,46,40,42
6,Central High School,Gray,,Carrollton,GA,Combined,42,916,44,41,46,46,43,20,40,43,46,46,46,27,35,46,46,22,17,46,46,46,46,43,35
27,North Atlanta High School,,,Atlanta,GA,Combined,43,941,46,43,46,46,46,35,36,12,46,46,46,46,37,40,46,46,46,46,3,46,46,45,46
5,Cedar Shoals High School,,,Athens,GA,Combined,44,953,42,45,46,46,42,25,40,45,35,26,46,46,46,34,46,46,46,46,46,46,46,21,46
13,Duluth High School,White,,Duluth,GA,Combined,45,958,43,44,46,46,46,34,38,42,43,46,46,46,43,42,46,20,46,46,42,46,46,23,38
42,Walton High School,A,,Marietta,GA,A,1,134,15,3,17,7,2,8,5,2,13,3,3,7,7,8,1,3,4,1,8,6,3,4,4
16,Fulton County Schools Innovation Academy,A,,Alpharetta,GA,A,2,232,20,2,3,2,14,41,2,3,8,15,16,1,3,4,12,10,10,21,5,10,9,1,20
36,River City Science Academy Middle-High School,RaTs,,Jacksonville,FL,A,3,240,9,15,1,22,30,3,12,7,3,13,4,13,10,12,7,8,2,9,22,13,6,18,1
8,Chattahoochee High School,A,,Johns Creek,GA,A,4,252,5,21,13,10,9,11,4,24,19,9,23,3,2,3,34,6,17,5,6,3,5,5,15
22,James Clemens High School,,,Huntsville,AL,A,5,264,1,12,2,24,18,29,8,1,4,4,5,4,12,7,6,13,17,14,13,16,25,2,27
19,Fulton Science Academy,2,,Alpharetta,GA,A,6,287,2,5,24,30,28,15,13,30,14,19,2,2,4,10,2,7,12,3,7,1,8,30,19
18,Fulton Science Academy,1,,Alpharetta,GA,A,8,325,16,1,46,46,8,1,3,9,7,6,46,15,19,5,3,4,16,11,43,2,1,6,11
4,Brookwood High School,B,,Snellville,GA,A,7,304,17,29,26,15,22,10,1,6,16,7,12,6,9,1,17,11,7,22,10,4,7,33,16
21,"Gwinnett School of Mathematics, Science, and Technology",B,,Lawrenceville,GA,A,9,336,3,10,11,21,4,9,17,33,1,12,13,11,11,19,11,12,11,20,27,25,22,28,5
3,Brookwood High School,A,,Snellville,GA,A,10,367,13,7,16,14,20,14,7,8,29,29,25,16,32,2,31,9,15,12,36,12,4,10,6
41,Westminster Schools,A,,Atlanta,GA,A,12,404,10,16,8,26,31,40,18,32,18,2,1,24,13,13,21,30,46,13,15,20,2,3,2
43,Walton High School,B,,Marietta,GA,A,11,402,21,19,5,6,39,22,26,20,37,24,8,22,8,9,9,15,6,2,23,21,18,11,31
33,Northview High School,Green,,Johns Creek,GA,A,14,445,39,35,12,1,1,4,37,26,27,21,19,14,28,6,23,28,46,16,1,18,23,12,8
9,Chattahoochee High School,B,,Johns Creek,GA,A,15,469,14,9,9,46,7,23,10,15,9,23,46,10,1,21,18,46,46,6,18,11,46,32,3
35,River City Science Academy Middle-High School,RaPtors,,Jacksonville,FL,A,13,444,7,30,7,18,36,21,6,21,15,32,10,23,25,27,20,2,3,32,41,19,10,14,25
25,Lambert High School,A,,Suwanee,GA,A,16,471,18,6,19,31,10,5,27,4,2,38,6,9,18,33,24,46,14,23,31,14,46,25,22
32,Northview High School,Blue,,Johns Creek,GA,A,17,482,8,18,4,13,5,18,24,23,17,34,46,21,21,17,14,16,9,46,16,46,17,17,32
10,Decatur High School,A,,Decatur,GA,A,20,500,11,25,20,3,29,2,31,13,31,1,9,36,27,11,32,46,46,7,12,7,46,42,13
44,Woodward Academy,A,,College Park,GA,A,18,490,22,27,10,5,16,12,11,40,41,35,14,35,16,35,26,17,1,18,20,15,13,22,39
20,"Gwinnett School of Mathematics, Science, and Technology",A,,Lawrenceville,GA,A,19,499,6,23,26,47,3,37,15,37,20,22,46,5,15,25,38,46,17,17,11,17,12,7,7
26,Lambert High School,B,,Suwanee,GA,A,23,562,4,28,26,17,6,46,14,18,12,28,46,46,24,16,30,46,46,15,2,8,46,29,9
2,Alpharetta High School,B,,Alpharetta,GA,A,21,548,33,36,22,4,27,7,9,10,26,40,7,39,36,14,10,5,46,28,33,23,46,19,28
23,Johns Creek High School,A,,Johns Creek,GA,A,24,581,41,13,26,29,21,36,20,39,5,39,11,37,6,24,4,46,46,46,4,34,16,8,30
17,Fulton County Schools Innovation Academy,B,,Alpharetta,GA,A,22,560,25,40,6,9,32,32,34,14,22,37,46,18,23,20,27,21,5,10,14,38,46,20,21
28,North Gwinnett High School,A,,Suwanee,GA,A,28,604,28,8,47,46,24,28,28,19,6,36,46,8,17,43,28,46,17,24,21,5,46,15,18
45,Woodward Academy,B,,College Park,GA,A,25,584,31,34,24,19,15,31,23,36,39,42,22,20,20,18,39,27,17,4,37,24,19,9,34
11,Decatur High School,B,,Decatur,GA,A,29,607,36,39,46,11,35,41,21,28,23,5,46,17,5,23,37,29,46,8,29,22,11,39,10
1,Alpharetta High School,A,,Alpharetta,GA,A,31,630,27,31,15,23,19,17,30,31,21,41,46,28,38,15,16,1,46,31,26,35,15,41,37
29,North Gwinnett High School,B,,Suwanee,GA,A,38,725,24,22,46,46,13,38,39,17,11,33,46,30,40,29,8,46,46,25,38,46,46,24,12
24,Johns Creek High School,B,,Johns Creek,GA,A,40,756,30,42,18,46,26,6,29,25,38,18,46,38,44,38,22,46,46,30,9,31,46,36,46
34,Pope High School,,,Marietta,GA,A,41,757,34,17,26,20,40,16,33,44,33,17,46,29,41,37,36,24,46,33,28,29,46,40,42
27,North Atlanta High School,,,Atlanta,GA,A,43,941,46,43,46,46,46,35,36,12,46,46,46,46,37,40,46,46,46,46,3,46,46,45,46
38,Rockdale Magnet School for Science and Technology,Gold,,Conyers,GA,B,26,591,19,24,26,28,34,39,40,22,32,16,15,33,22,26,33,19,17,29,32,26,26,16,17
30,Northgate High School,T-Rex,,Newnan,GA,B,27,598,26,32,26,8,12,19,16,38,40,25,17,31,31,22,25,18,46,26,17,28,24,31,40
31,Northgate High School,Velociraptor,,Newnan,GA,B,30,624,38,38,26,33,11,33,22,16,30,14,18,19,39,41,40,25,8,27,40,33,21,26,26
40,Starr's Mill High School,2,,Fayetteville,GA,B,32,652,12,4,46,46,37,24,35,27,10,11,46,32,29,30,35,46,17,19,24,30,46,13,33
7,Central High School,Maroon,,Carrollton,GA,B,34,685,40,37,23,32,38,26,40,34,36,30,21,34,30,31,5,26,13,35,30,37,14,37,36
39,Starr's Mill High School,1,,Fayetteville,GA,B,35,700,35,26,46,12,33,46,19,29,34,8,46,25,26,28,29,46,17,46,35,27,20,44,23
14,Forsyth Central High School,Black,,Cumming,GA,B,33,660,29,11,46,16,23,27,25,5,24,31,46,12,33,36,13,46,46,46,34,9,46,27,29
12,Duluth High School,Purple,,Duluth,GA,B,36,707,32,20,21,25,25,30,32,35,25,10,24,46,34,44,41,14,47,46,25,36,46,35,14
37,Rockdale Magnet School for Science and Technology,Blue,,Conyers,GA,B,39,749,37,33,26,27,41,13,40,41,42,27,20,26,42,32,15,23,46,34,39,39,27,38,41
15,Forsyth Central High School,Red,,Cumming,GA,B,37,716,23,14,14,46,17,46,40,11,28,20,46,46,14,39,19,46,46,46,19,32,46,34,24
6,Central High School,Gray,,Carrollton,GA,B,42,916,44,41,46,46,43,20,40,43,46,46,46,27,35,46,46,22,17,46,46,46,46,43,35
